,CustomerContinent,ProductCategory,dateOfPurchase,TotalQuantity,TotalRevenue
143,Africa,Beauty,2018-03,10.0,8218.16
144,Africa,Beauty,2018-04,21.0,10771.109999999999
145,Africa,Beauty,2018-05,27.0,8723.82
146,Africa,Beauty,2018-06,,
147,Africa,Beauty,2018-07,14.0,7621.32
148,Africa,Beauty,2018-08,3.0,1404.36
149,Africa,Beauty,2018-09,3.0,1026.0
150,Africa,Beauty,2018-10,28.0,12294.779999999999
151,Africa,Beauty,2018-11,11.0,3538.7799999999997
152,Africa,Beauty,2018-12,3.0,2378.46
153,Africa,Beauty,2019-01,7.0,4508.4800000000005
154,Africa,Beauty,2019-02,6.0,3168.0
155,Africa,Beauty,2019-03,5.0,1851.8
156,Africa,Beauty,2019-04,16.0,3785.46
157,Africa,Beauty,2019-05,25.0,6683.0599999999995
158,Africa,Beauty,2019-06,22.0,16167.41
159,Africa,Beauty,2019-07,15.0,9944.1
160,Africa,Beauty,2019-08,15.0,4805.71
161,Africa,Beauty,2019-09,13.0,3663.96
162,Africa,Beauty,2019-10,8.0,3117.3599999999997
163,Africa,Beauty,2019-12,6.0,938.4000000000001
164,Africa,Beauty,2020-01,13.0,5406.3
165,Africa,Beauty,2020-02,15.0,10114.65
166,Africa,Beauty,2020-03,13.0,6230.32
167,Africa,Beauty,2020-04,7.0,3601.7200000000003
168,Africa,Beauty,2020-05,16.0,8411.58
169,Africa,Beauty,2020-06,32.0,18311.199999999997
170,Africa,Beauty,2020-07,16.0,5867.58
171,Africa,Beauty,2020-08,29.0,11218.73
172,Africa,Beauty,2020-09,,
173,Africa,Beauty,2020-10,12.0,8759.48
174,Africa,Beauty,2020-11,13.0,9879.12
175,Africa,Beauty,2020-12,15.0,6193.23
176,Africa,Beauty,2016-07,9.0,3440.01
177,Africa,Beauty,2016-08,24.0,11007.02
178,Africa,Beauty,2017-11,32.0,15554.76
179,Africa,Beauty,2019-11,42.0,20068.35
180,Africa,Books,2016-01,8.0,3525.58
181,Africa,Books,2016-02,18.0,9349.35
182,Africa,Books,2016-03,7.0,2800.71
183,Africa,Books,2016-04,29.0,16601.91
184,Africa,Books,2016-05,,
185,Africa,Books,2016-06,13.0,5211.84
186,Africa,Books,2016-09,19.0,12331.32
187,Africa,Books,2016-10,13.0,5610.12
188,Africa,Books,2016-11,16.0,7427.66
189,Africa,Books,2016-12,,
190,Africa,Books,2017-01,14.0,6080.74
191,Africa,Books,2017-02,17.0,8918.460000000001
192,Africa,Books,2017-03,10.0,6734.0
193,Africa,Books,2017-04,43.0,26617.62
194,Africa,Books,2017-05,26.0,8526.64
195,Africa,Books,2017-06,13.0,4555.18
196,Africa,Books,2017-07,9.0,3247.56
197,Africa,Books,2017-08,26.0,14259.84
198,Africa,Books,2017-09,33.0,22951.559999999998
199,Africa,Books,2017-10,,
200,Africa,Books,2017-12,10.0,771.9
201,Africa,Books,2018-01,33.0,6185.58
202,Africa,Books,2018-02,19.0,8812.529999999999
203,Africa,Books,2018-03,31.0,16605.09
204,Africa,Books,2018-04,10.0,6392.08
205,Africa,Books,2018-05,18.0,8383.199999999999
206,Africa,Books,2018-06,25.0,11770.8
207,Africa,Books,2018-07,,
208,Africa,Books,2018-08,8.0,2368.34
209,Africa,Books,2018-09,1.0,841.5
210,Africa,Books,2018-10,26.0,17055.04
211,Africa,Books,2018-11,14.0,9526.8
212,Africa,Books,2018-12,9.0,1398.46
213,Africa,Books,2019-01,14.0,2376.72
214,Africa,Books,2019-02,35.0,11408.17
215,Africa,Books,2019-03,8.0,3840.0
216,Africa,Books,2019-04,19.0,3215.0
217,Africa,Books,2019-05,14.0,4104.68
218,Africa,Books,2019-06,22.0,12954.32
219,Africa,Books,2019-07,12.0,6032.889999999999
220,Africa,Books,2019-08,6.0,2655.9799999999996
221,Africa,Books,2019-09,20.0,2091.96
222,Africa,Books,2019-10,13.0,4881.1900000000005
223,Africa,Books,2019-12,41.0,17548.01
224,Africa,Books,2020-01,1.0,214.37
225,Africa,Books,2020-02,9.0,7231.7
226,Africa,Books,2020-03,5.0,4071.0
227,Africa,Books,2020-04,6.0,781.1999999999999
228,Africa,Books,2020-05,12.0,10692.050000000001
229,Africa,Books,2020-06,11.0,1103.88
230,Africa,Books,2020-07,18.0,5668.799999999999
231,Africa,Books,2020-08,10.0,5391.0
232,Africa,Books,2020-09,3.0,2046.33
233,Africa,Books,2020-10,21.0,15944.98
234,Africa,Books,2020-11,19.0,2615.04
235,Africa,Books,2020-12,24.0,15502.15
236,Africa,Books,2016-07,,
237,Africa,Books,2016-08,8.0,3547.76
238,Africa,Books,2017-11,13.0,5029.32
239,Africa,Books,2019-11,41.0,26340.63
240,Africa,Clothing,2016-01,9.0,4870.88
241,Africa,Clothing,2016-02,,
242,Africa,Clothing,2016-03,18.0,14876.599999999999
243,Africa,Clothing,2016-04,32.0,13201.42
244,Africa,Clothing,2016-05,23.0,6857.48
245,Africa,Clothing,2016-06,17.0,9422.24
246,Africa,Clothing,2016-09,11.0,8335.08
247,Africa,Clothing,2016-10,17.0,8051.73
248,Africa,Clothing,2016-11,12.0,7002.32
249,Africa,Clothing,2016-12,6.0,2822.4
250,Africa,Clothing,2017-01,10.0,5207.2
251,Africa,Clothing,2017-02,17.0,7905.860000000001
252,Africa,Clothing,2017-03,9.0,4037.7000000000003
253,Africa,Clothing,2017-04,4.0,426.8
254,Africa,Clothing,2017-05,11.0,6996.15
255,Africa,Clothing,2017-06,4.0,1443.84
256,Africa,Clothing,2017-07,14.0,2059.52
257,Africa,Clothing,2017-08,5.0,1185.75
258,Africa,Clothing,2017-09,26.0,13786.52
259,Africa,Clothing,2017-10,29.0,22345.989999999998
260,Africa,Clothing,2017-12,5.0,2915.55
261,Africa,Clothing,2018-01,34.0,16388.58
262,Africa,Clothing,2018-02,23.0,7696.179999999999
263,Africa,Clothing,2018-03,6.0,2348.4
264,Africa,Clothing,2018-04,10.0,4869.2
265,Africa,Clothing,2018-05,1.0,744.9599999999999
266,Africa,Clothing,2018-06,26.0,18932.31
267,Africa,Clothing,2018-07,9.0,6629.82
268,Africa,Clothing,2018-08,16.0,1045.6899999999998
269,Africa,Clothing,2018-09,10.0,7840.53
270,Africa,Clothing,2018-10,11.0,2146.31
271,Africa,Clothing,2018-11,16.0,8122.59
272,Africa,Clothing,2018-12,12.0,4001.6
273,Africa,Clothing,2019-01,6.0,773.72
274,Africa,Clothing,2019-02,17.0,4118.139999999999
275,Africa,Clothing,2019-03,9.0,3287.1600000000003
276,Africa,Clothing,2019-04,53.0,16301.18
277,Africa,Clothing,2019-05,1.0,766.3
278,Africa,Clothing,2019-06,29.0,11827.92
279,Africa,Clothing,2019-07,13.0,3322.1399999999994
280,Africa,Clothing,2019-08,17.0,3046.92
281,Africa,Clothing,2019-09,4.0,1153.18
282,Africa,Clothing,2019-10,43.0,24611.93
283,Africa,Clothing,2019-12,7.0,1702.3999999999999
284,Africa,Clothing,2020-01,2.0,855.6
285,Africa,Clothing,2020-02,33.0,13959.61
286,Africa,Clothing,2020-03,33.0,19745.58
287,Africa,Clothing,2020-04,12.0,7947.24
288,Africa,Clothing,2020-05,13.0,8720.5
289,Africa,Clothing,2020-06,12.0,6443.9400000000005
290,Africa,Clothing,2020-07,4.0,769.1700000000001
291,Africa,Clothing,2020-08,28.0,9765.900000000001
292,Africa,Clothing,2020-09,30.0,18962.78
293,Africa,Clothing,2020-10,31.0,23118.09
294,Africa,Clothing,2020-11,9.0,6729.48
295,Africa,Clothing,2020-12,,
296,Africa,Clothing,2016-07,22.0,12030.119999999999
297,Africa,Clothing,2016-08,1.0,374.21999999999997
298,Africa,Clothing,2017-11,38.0,15779.27
299,Africa,Clothing,2019-11,29.0,22721.4
300,Africa,Computers,2016-01,8.0,5817.6
301,Africa,Computers,2016-02,26.0,13428.88
302,Africa,Computers,2016-03,6.0,2419.56
303,Africa,Computers,2016-04,51.0,15672.93
304,Africa,Computers,2016-05,26.0,12775.76
305,Africa,Computers,2016-06,18.0,1935.03
306,Africa,Computers,2016-09,18.0,4939.2
307,Africa,Computers,2016-10,9.0,6870.58
308,Africa,Computers,2016-11,33.0,18556.02
309,Africa,Computers,2016-12,15.0,10566.699999999999
310,Africa,Computers,2017-01,31.0,20373.37
311,Africa,Computers,2017-02,20.0,8679.029999999999
312,Africa,Computers,2017-03,16.0,9390.18
313,Africa,Computers,2017-04,19.0,10361.400000000001
314,Africa,Computers,2017-05,1.0,609.96
315,Africa,Computers,2017-06,5.0,3086.64
316,Africa,Computers,2017-07,19.0,9041.76
317,Africa,Computers,2017-08,20.0,8857.2
318,Africa,Computers,2017-09,,
319,Africa,Computers,2017-10,22.0,8343.96
320,Africa,Computers,2017-12,18.0,1886.31
321,Africa,Computers,2018-01,19.0,3632.6300000000006
322,Africa,Computers,2018-02,14.0,8694.279999999999
323,Africa,Computers,2018-03,18.0,5180.07
324,Africa,Computers,2018-04,24.0,10887.95
325,Africa,Computers,2018-05,14.0,7355.33
326,Africa,Computers,2018-06,34.0,13521.69
327,Africa,Computers,2018-07,7.0,859.3199999999999
328,Africa,Computers,2018-08,21.0,10670.97
329,Africa,Computers,2018-09,21.0,15929.88
330,Africa,Computers,2018-10,8.0,5438.639999999999
331,Africa,Computers,2018-11,14.0,2078.37
332,Africa,Computers,2018-12,23.0,14995.77
333,Africa,Computers,2019-01,5.0,1970.9099999999999
334,Africa,Computers,2019-02,,
335,Africa,Computers,2019-03,44.0,27039.16
336,Africa,Computers,2019-04,21.0,15467.57
337,Africa,Computers,2019-05,21.0,11523.130000000001
338,Africa,Computers,2019-06,32.0,14833.28
339,Africa,Computers,2019-07,,
340,Africa,Computers,2019-08,11.0,1971.9
341,Africa,Computers,2019-09,31.0,12537.05
342,Africa,Computers,2019-10,10.0,5013.349999999999
343,Africa,Computers,2019-12,8.0,1645.1999999999998
344,Africa,Computers,2020-01,4.0,890.88
345,Africa,Computers,2020-02,25.0,14922.98
346,Africa,Computers,2020-03,10.0,2220.5499999999997
347,Africa,Computers,2020-04,8.0,1557.6599999999999
348,Africa,Computers,2020-05,10.0,1969.1
349,Africa,Computers,2020-06,7.0,3499.65
350,Africa,Computers,2020-07,2.0,1699.52
351,Africa,Computers,2020-08,11.0,5564.88
352,Africa,Computers,2020-09,12.0,6835.31
353,Africa,Computers,2020-10,2.0,576.94
354,Africa,Computers,2020-11,25.0,12642.9
355,Africa,Computers,2020-12,,
356,Africa,Computers,2016-07,45.0,24124.41
357,Africa,Computers,2016-08,13.0,2821.6
358,Africa,Computers,2017-11,11.0,7234.99
359,Africa,Computers,2019-11,22.0,11717.25
360,Africa,Electronics,2016-01,13.0,9378.66
361,Africa,Electronics,2016-02,12.0,6489.01
362,Africa,Electronics,2016-03,15.0,11602.71
363,Africa,Electronics,2016-04,13.0,8879.08
364,Africa,Electronics,2016-05,23.0,12790.99
365,Africa,Electronics,2016-06,33.0,13515.63
366,Africa,Electronics,2016-09,14.0,7649.58
367,Africa,Electronics,2016-10,2.0,1113.28
368,Africa,Electronics,2016-11,19.0,8299.66
369,Africa,Electronics,2016-12,18.0,10699.29
370,Africa,Electronics,2017-01,,
371,Africa,Electronics,2017-02,36.0,27922.48
372,Africa,Electronics,2017-03,20.0,8241.52
373,Africa,Electronics,2017-04,33.0,11050.99
374,Africa,Electronics,2017-05,9.0,3374.48
375,Africa,Electronics,2017-06,22.0,15589.56
376,Africa,Electronics,2017-07,23.0,11021.32
377,Africa,Electronics,2017-08,46.0,28729.72
378,Africa,Electronics,2017-09,29.0,14954.689999999999
379,Africa,Electronics,2017-10,28.0,15332.62
380,Africa,Electronics,2017-12,27.0,10005.17
381,Africa,Electronics,2018-01,,
382,Africa,Electronics,2018-02,32.0,16452.2
383,Africa,Electronics,2018-03,25.0,7898.15
384,Africa,Electronics,2018-04,29.0,8592.06
385,Africa,Electronics,2018-05,15.0,6348.24
386,Africa,Electronics,2018-06,2.0,1324.8
387,Africa,Electronics,2018-07,21.0,7606.86
388,Africa,Electronics,2018-08,6.0,2943.2
389,Africa,Electronics,2018-09,17.0,11239.689999999999
390,Africa,Electronics,2018-10,10.0,1556.6999999999998
391,Africa,Electronics,2018-11,12.0,5014.94
392,Africa,Electronics,2018-12,23.0,10442.38
393,Africa,Electronics,2019-01,16.0,11807.119999999999
394,Africa,Electronics,2019-02,6.0,1765.8
395,Africa,Electronics,2019-03,10.0,1856.4
396,Africa,Electronics,2019-04,10.0,958.8
397,Africa,Electronics,2019-05,35.0,15790.119999999999
398,Africa,Electronics,2019-06,8.0,2030.7399999999998
399,Africa,Electronics,2019-07,13.0,2400.58
400,Africa,Electronics,2019-08,8.0,6700.92
401,Africa,Electronics,2019-09,28.0,15629.34
402,Africa,Electronics,2019-10,38.0,19859.76
403,Africa,Electronics,2019-12,9.0,1905.52
404,Africa,Electronics,2020-01,7.0,4868.64
405,Africa,Electronics,2020-02,16.0,4677.599999999999
406,Africa,Electronics,2020-03,12.0,2222.7799999999997
407,Africa,Electronics,2020-04,8.0,5791.679999999999
408,Africa,Electronics,2020-05,18.0,13913.189999999999
409,Africa,Electronics,2020-06,24.0,11905.119999999999
410,Africa,Electronics,2020-07,8.0,5014.6
411,Africa,Electronics,2020-08,7.0,4843.16
412,Africa,Electronics,2020-09,3.0,2.79
413,Africa,Electronics,2020-10,22.0,15891.560000000001
414,Africa,Electronics,2020-11,14.0,7708.38
415,Africa,Electronics,2020-12,9.0,526.5
416,Africa,Electronics,2016-07,39.0,25300.94
417,Africa,Electronics,2016-08,16.0,12013.74
418,Africa,Electronics,2017-11,4.0,1080.9
419,Africa,Electronics,2019-11,10.0,4375.299999999999
420,Africa,Games,2016-01,9.0,6150.6900000000005
421,Africa,Games,2016-02,15.0,12979.399999999998
422,Africa,Games,2016-03,10.0,1996.4
423,Africa,Games,2016-04,16.0,9548.72
424,Africa,Games,2016-05,36.0,13246.98
425,Africa,Games,2016-06,5.0,1547.1499999999999
426,Africa,Games,2016-09,25.0,8455.2
427,Africa,Games,2016-10,29.0,17002.04
428,Africa,Games,2016-11,14.0,3950.1
429,Africa,Games,2016-12,16.0,3254.32
430,Africa,Games,2017-01,33.0,14206.56
431,Africa,Games,2017-02,3.0,1514.7
432,Africa,Games,2017-03,22.0,5633.44
433,Africa,Games,2017-04,13.0,2723.9
434,Africa,Games,2017-05,8.0,7682.4
435,Africa,Games,2017-06,6.0,200.88
436,Africa,Games,2017-07,45.0,30253.57
437,Africa,Games,2017-08,,
438,Africa,Games,2017-09,12.0,5454.96
439,Africa,Games,2017-10,33.0,16934.55
440,Africa,Games,2017-12,10.0,2328.0
441,Africa,Games,2018-01,18.0,8703.66
442,Africa,Games,2018-02,,
443,Africa,Games,2018-03,24.0,9128.699999999999
444,Africa,Games,2018-04,9.0,945.1200000000001
445,Africa,Games,2018-05,31.0,16977.28
446,Africa,Games,2018-06,8.0,4546.84
447,Africa,Games,2018-07,11.0,5741.9
448,Africa,Games,2018-08,15.0,6249.75
449,Africa,Games,2018-09,20.0,7955.5199999999995
450,Africa,Games,2018-10,14.0,3390.33
451,Africa,Games,2018-11,12.0,4901.28
452,Africa,Games,2018-12,8.0,6380.58
453,Africa,Games,2019-01,16.0,8519.96
454,Africa,Games,2019-02,17.0,6136.2
455,Africa,Games,2019-03,12.0,3494.1
456,Africa,Games,2019-04,18.0,12778.05
457,Africa,Games,2019-05,6.0,2506.14
458,Africa,Games,2019-06,29.0,13023.87
459,Africa,Games,2019-07,12.0,4375.91
460,Africa,Games,2019-08,11.0,7922.84
461,Africa,Games,2019-09,10.0,1599.6
462,Africa,Games,2019-10,3.0,1523.34
463,Africa,Games,2019-12,10.0,2491.92
464,Africa,Games,2020-01,6.0,1555.2
465,Africa,Games,2020-02,13.0,5953.97
466,Africa,Games,2020-03,9.0,2035.86
467,Africa,Games,2020-04,16.0,12783.54
468,Africa,Games,2020-05,18.0,9505.58
469,Africa,Games,2020-06,23.0,15873.320000000002
470,Africa,Games,2020-07,17.0,11647.24
471,Africa,Games,2020-08,38.0,15742.289999999999
472,Africa,Games,2020-09,18.0,4382.84
473,Africa,Games,2020-10,7.0,4902.38
474,Africa,Games,2020-11,18.0,6191.46
475,Africa,Games,2020-12,18.0,6059.3
476,Africa,Games,2016-07,28.0,13674.3
477,Africa,Games,2016-08,6.0,4222.8
478,Africa,Games,2017-11,17.0,5517.04
479,Africa,Games,2019-11,3.0,2878.2599999999998
480,Africa,Garden,2016-01,11.0,5906.68
481,Africa,Garden,2016-02,21.0,14117.22
482,Africa,Garden,2016-03,21.0,11691.32
483,Africa,Garden,2016-04,,
484,Africa,Garden,2016-05,10.0,3663.3999999999996
485,Africa,Garden,2016-06,17.0,6950.04
486,Africa,Garden,2016-09,17.0,10647.59
487,Africa,Garden,2016-10,3.0,2907.66
488,Africa,Garden,2016-11,18.0,4912.84
489,Africa,Garden,2016-12,9.0,5707.589999999999
490,Africa,Garden,2017-01,5.0,1770.25
491,Africa,Garden,2017-02,7.0,4462.83
492,Africa,Garden,2017-03,4.0,2959.94
493,Africa,Garden,2017-04,13.0,4544.66
494,Africa,Garden,2017-05,17.0,7933.67
495,Africa,Garden,2017-06,,
496,Africa,Garden,2017-07,11.0,5011.6900000000005
497,Africa,Garden,2017-08,13.0,7872.860000000001
498,Africa,Garden,2017-09,19.0,9296.199999999999
499,Africa,Garden,2017-10,10.0,7791.3
500,Africa,Garden,2017-12,4.0,1975.92
501,Africa,Garden,2018-01,1.0,667.1999999999999
502,Africa,Garden,2018-02,12.0,2136.4
503,Africa,Garden,2018-03,13.0,4438.68
504,Africa,Garden,2018-04,26.0,11535.21
505,Africa,Garden,2018-05,4.0,3305.12
506,Africa,Garden,2018-06,10.0,2888.8
507,Africa,Garden,2018-07,27.0,16343.56
508,Africa,Garden,2018-08,10.0,3686.42
509,Africa,Garden,2018-09,11.0,9257.58
510,Africa,Garden,2018-10,16.0,5456.98
511,Africa,Garden,2018-11,13.0,2863.8399999999997
512,Africa,Garden,2018-12,8.0,68.39999999999999
513,Africa,Garden,2019-01,16.0,4645.86
514,Africa,Garden,2019-02,45.0,26012.64
515,Africa,Garden,2019-03,22.0,10000.98
516,Africa,Garden,2019-04,24.0,6889.120000000001
517,Africa,Garden,2019-05,16.0,7202.880000000001
518,Africa,Garden,2019-06,22.0,14181.08
519,Africa,Garden,2019-07,21.0,4735.52
520,Africa,Garden,2019-08,22.0,5717.28
521,Africa,Garden,2019-09,7.0,1733.76
522,Africa,Garden,2019-10,15.0,9968.04
523,Africa,Garden,2019-12,,
524,Africa,Garden,2020-01,36.0,11413.05
525,Africa,Garden,2020-02,3.0,2453.85
526,Africa,Garden,2020-03,17.0,6435.16
527,Africa,Garden,2020-04,11.0,6175.93
528,Africa,Garden,2020-05,2.0,1374.48
529,Africa,Garden,2020-06,14.0,7351.739999999999
530,Africa,Garden,2020-07,7.0,4142.339999999999
531,Africa,Garden,2020-08,20.0,8100.29
532,Africa,Garden,2020-09,23.0,11014.779999999999
533,Africa,Garden,2020-10,,
534,Africa,Garden,2020-11,20.0,11668.51
535,Africa,Garden,2020-12,,
536,Africa,Garden,2016-07,8.0,2410.58
537,Africa,Garden,2016-08,17.0,5082.7699999999995
538,Africa,Garden,2017-11,3.0,1632.54
539,Africa,Garden,2019-11,23.0,11679.76
540,Africa,Grocery,2016-01,29.0,11349.86
541,Africa,Grocery,2016-02,11.0,1413.45
542,Africa,Grocery,2016-03,28.0,16299.2
543,Africa,Grocery,2016-04,10.0,6487.96
544,Africa,Grocery,2016-05,21.0,11108.609999999999
545,Africa,Grocery,2016-06,29.0,19610.55
546,Africa,Grocery,2016-09,4.0,2249.6
547,Africa,Grocery,2016-10,5.0,1643.83
548,Africa,Grocery,2016-11,25.0,9590.89
549,Africa,Grocery,2016-12,8.0,2215.0099999999998
550,Africa,Grocery,2017-01,28.0,9057.71
551,Africa,Grocery,2017-02,18.0,8289.65
552,Africa,Grocery,2017-03,4.0,1062.88
553,Africa,Grocery,2017-04,6.0,3599.64
554,Africa,Grocery,2017-05,16.0,3309.37
555,Africa,Grocery,2017-06,6.0,4136.679999999999
556,Africa,Grocery,2017-07,5.0,1418.69
557,Africa,Grocery,2017-08,11.0,3966.96
558,Africa,Grocery,2017-09,5.0,1659.94
559,Africa,Grocery,2017-10,10.0,4390.32
560,Africa,Grocery,2017-12,,
561,Africa,Grocery,2018-01,31.0,8668.130000000001
562,Africa,Grocery,2018-02,18.0,10818.81
563,Africa,Grocery,2018-03,26.0,6533.599999999999
564,Africa,Grocery,2018-04,16.0,9209.34
565,Africa,Grocery,2018-05,7.0,4462.92
566,Africa,Grocery,2018-06,7.0,2060.8
