,CustomerContinent,ProductCategory,dateOfPurchase,TotalQuantity,TotalRevenue,AvgPrice,MedPrice,AvgCost,AvgDiscount
79,Africa,Baby,2017-12,29,18041.54,641.0,795.0,384.2925,0.06
80,Africa,Baby,2018-01,9,3177.54,405.5,405.5,175.18,0.08
81,Africa,Baby,2018-02,16,10827.240000000002,704.0,749.0,442.1766666666667,0.06666666666666667
82,Africa,Baby,2018-03,9,1728.7199999999998,343.5,343.5,196.02,0.02
83,Africa,Baby,2018-04,6,3461.7599999999998,601.0,601.0,168.27999999999997,0.04
84,Africa,Baby,2018-05,29,14976.099999999999,511.8,458.0,226.786,0.036
85,Africa,Baby,2018-06,9,6258.57,731.0,731.0,503.615,0.049999999999999996
86,Africa,Baby,2018-07,22,14002.809999999998,785.2,860.0,383.20799999999997,0.05800000000000001
87,Africa,Baby,2018-09,14,7093.37,425.6666666666667,249.0,247.76,0.043333333333333335
88,Africa,Baby,2018-11,29,9192.33,271.75,280.0,158.8075,0.055
89,Africa,Baby,2018-12,38,9566.15,237.0,164.0,168.994,0.048
90,Africa,Baby,2019-01,1,838.0799999999999,864.0,864.0,241.92,0.03
91,Africa,Baby,2019-02,12,9853.279999999999,858.5,858.5,503.395,0.030000000000000002
92,Africa,Baby,2019-04,9,2778.75,325.0,325.0,143.0,0.05
93,Africa,Baby,2019-05,26,12813.06,444.0,524.5,251.03000000000003,0.055
94,Africa,Baby,2019-06,40,26339.1,658.2,802.0,379.842,0.07200000000000001
95,Africa,Baby,2019-07,10,7008.349999999999,427.5,427.5,342.3,0.05
96,Africa,Baby,2019-08,13,4166.099999999999,323.3333333333333,199.0,173.38333333333333,0.05000000000000001
97,Africa,Baby,2019-09,4,1915.0,523.0,523.0,357.22999999999996,0.09
98,Africa,Baby,2019-10,16,7004.6,492.5,492.5,245.29500000000002,0.065
99,Africa,Baby,2019-11,6,4441.68,503.0,503.0,307.88,0.065
100,Africa,Baby,2019-12,14,8371.17,654.75,715.5,250.03750000000002,0.0625
101,Africa,Baby,2020-01,3,1569.75,575.0,575.0,253.0,0.09
102,Africa,Baby,2020-02,24,17633.28,731.0,759.0,367.46,0.03
103,Africa,Baby,2020-03,21,7634.54,392.6666666666667,422.0,279.65000000000003,0.07666666666666666
104,Africa,Baby,2020-04,27,18003.03,611.5,664.0,234.8125,0.045
105,Africa,Baby,2020-05,14,6552.59,399.5,298.5,172.5725,0.025
106,Africa,Baby,2020-06,3,2883.87,957.0,957.0,468.13500000000005,0.01
107,Africa,Baby,2020-07,7,2134.4399999999996,292.3333333333333,287.0,178.79999999999998,0.04
108,Africa,Baby,2020-08,10,3885.05,307.5,307.5,188.6,0.055
109,Africa,Baby,2020-09,3,1779.96,652.0,652.0,312.96,0.09
110,Africa,Baby,2020-11,18,2503.01,174.0,161.0,89.06666666666666,0.04
111,Africa,Baby,2020-12,17,6667.82,402.3333333333333,405.0,128.97666666666666,0.056666666666666664
112,Africa,Beauty,2016-01,5,1852.3,319.5,319.5,187.15,0.04
113,Africa,Beauty,2016-02,1,576.9,641.0,641.0,307.68,0.1
114,Africa,Beauty,2016-03,33,20318.41,599.3333333333334,683.0,261.72166666666664,0.03666666666666667
115,Africa,Beauty,2016-04,36,26408.97,767.8,895.0,389.826,0.054000000000000006
116,Africa,Beauty,2016-05,9,2837.88,523.3333333333334,492.0,431.2833333333333,0.04666666666666667
117,Africa,Beauty,2016-06,13,9021.15,541.6666666666666,756.0,270.19666666666666,0.043333333333333335
118,Africa,Beauty,2016-07,9,3440.01,393.5,393.5,182.89499999999998,0.055
119,Africa,Beauty,2016-08,24,11007.02,477.3333333333333,431.0,154.57666666666668,0.08666666666666667
120,Africa,Beauty,2016-10,34,19258.73,640.75,678.0,235.625,0.075
121,Africa,Beauty,2016-11,7,1826.51,269.0,269.0,217.89,0.03
122,Africa,Beauty,2016-12,5,768.95,169.0,169.0,91.26,0.09
123,Africa,Beauty,2017-01,39,14365.62,471.3333333333333,382.5,216.67999999999998,0.07666666666666667
124,Africa,Beauty,2017-03,14,7136.25,534.0,771.0,300.1566666666667,0.04666666666666667
125,Africa,Beauty,2017-04,8,4756.88,613.0,613.0,269.72,0.03
126,Africa,Beauty,2017-05,3,1490.5800000000002,546.0,546.0,382.2,0.09
127,Africa,Beauty,2017-06,2,660.6,354.0,354.0,245.82,0.060000000000000005
128,Africa,Beauty,2017-07,5,2035.1,433.0,433.0,303.1,0.06
129,Africa,Beauty,2017-08,11,7389.349999999999,730.3333333333334,713.0,556.7466666666667,0.07
130,Africa,Beauty,2017-09,28,5680.21,265.0,254.0,124.04,0.057499999999999996
131,Africa,Beauty,2017-10,22,8861.12,355.0,413.0,172.8066666666667,0.04666666666666667
132,Africa,Beauty,2017-11,32,15554.76,484.75,489.5,192.435,0.0775
133,Africa,Beauty,2017-12,3,2561.28,928.0,928.0,603.2,0.08
134,Africa,Beauty,2018-01,17,10885.77,728.5,763.0,444.94,0.045000000000000005
135,Africa,Beauty,2018-02,9,2269.7999999999997,260.0,260.0,75.4,0.03
136,Africa,Beauty,2018-03,10,8218.16,849.0,849.0,496.89,0.060000000000000005
137,Africa,Beauty,2018-04,21,10771.109999999999,435.0,539.0,256.10999999999996,0.04
138,Africa,Beauty,2018-05,27,8723.82,456.25,333.5,179.8575,0.03
139,Africa,Beauty,2018-07,14,7621.32,649.3333333333334,586.0,397.6933333333333,0.04666666666666667
140,Africa,Beauty,2018-08,3,1404.36,498.0,498.0,328.68,0.06
141,Africa,Beauty,2018-09,3,1026.0,360.0,360.0,176.4,0.05
142,Africa,Beauty,2018-10,28,12294.779999999999,531.5,436.5,138.61,0.0625
143,Africa,Beauty,2018-11,11,3538.7799999999997,309.3333333333333,140.0,142.48,0.023333333333333334
144,Africa,Beauty,2018-12,3,2378.46,809.0,809.0,339.78,0.02
145,Africa,Beauty,2019-01,7,4508.4800000000005,683.0,683.0,380.64,0.06
146,Africa,Beauty,2019-02,6,3168.0,550.0,550.0,115.5,0.04
147,Africa,Beauty,2019-03,5,1851.8,394.0,394.0,193.06,0.06
148,Africa,Beauty,2019-04,16,3785.46,313.0,270.5,158.47,0.035
149,Africa,Beauty,2019-05,25,6683.0599999999995,396.75,404.0,209.305,0.0475
150,Africa,Beauty,2019-06,22,16167.41,793.4,812.0,370.62600000000003,0.052000000000000005
151,Africa,Beauty,2019-07,15,9944.1,698.5,698.5,434.34,0.1
152,Africa,Beauty,2019-08,15,4805.71,331.0,331.0,159.62,0.045000000000000005
153,Africa,Beauty,2019-09,13,3663.96,307.5,307.5,94.65,0.04
154,Africa,Beauty,2019-10,8,3117.3599999999997,419.0,419.0,205.31,0.07
155,Africa,Beauty,2019-11,42,20068.35,539.6666666666666,526.0,291.6066666666666,0.049999999999999996
156,Africa,Beauty,2019-12,6,938.4000000000001,170.0,170.0,112.2,0.08
157,Africa,Beauty,2020-01,13,5406.3,348.5,348.5,139.14,0.060000000000000005
158,Africa,Beauty,2020-02,15,10114.65,675.0,675.0,322.53,0.05
159,Africa,Beauty,2020-03,13,6230.32,454.0,421.0,264.8233333333333,0.06666666666666667
160,Africa,Beauty,2020-04,7,3601.7200000000003,647.5,647.5,260.5,0.06
161,Africa,Beauty,2020-05,16,8411.58,599.6666666666666,831.0,401.6666666666667,0.06666666666666667
162,Africa,Beauty,2020-06,32,18311.199999999997,663.6,835.0,481.70799999999997,0.052000000000000005
163,Africa,Beauty,2020-07,16,5867.58,596.5,688.5,339.1775,0.0625
164,Africa,Beauty,2020-08,29,11218.73,437.75,418.5,201.7,0.0575
165,Africa,Beauty,2020-10,12,8759.48,698.0,804.0,396.7066666666667,0.08
166,Africa,Beauty,2020-11,13,9879.12,770.25,814.5,420.0775,0.035
167,Africa,Beauty,2020-12,15,6193.23,392.0,392.0,154.435,0.035
168,Africa,Books,2016-01,8,3525.58,335.0,335.0,112.965,0.05
169,Africa,Books,2016-02,18,9349.35,618.0,877.0,441.25333333333333,0.036666666666666674
170,Africa,Books,2016-03,7,2800.71,471.0,471.0,174.565,0.04
171,Africa,Books,2016-04,29,16601.91,573.5,661.5,198.17000000000002,0.0425
172,Africa,Books,2016-06,13,5211.84,365.0,365.0,221.54000000000002,0.06
173,Africa,Books,2016-08,8,3547.76,502.0,584.0,350.94666666666666,0.05666666666666667
174,Africa,Books,2016-09,19,12331.32,574.0,575.5,213.28750000000002,0.0475
175,Africa,Books,2016-10,13,5610.12,429.4,461.0,211.96400000000003,0.054000000000000006
176,Africa,Books,2016-11,16,7427.66,428.2,502.0,164.6,0.041999999999999996
177,Africa,Books,2017-01,14,6080.74,482.6666666666667,611.0,207.62333333333333,0.07666666666666666
178,Africa,Books,2017-02,17,8918.460000000001,590.0,612.0,189.77999999999997,0.06
179,Africa,Books,2017-03,10,6734.0,740.0,740.0,370.0,0.09
180,Africa,Books,2017-04,43,26617.62,615.875,635.0,299.40625,0.05375
181,Africa,Books,2017-05,26,8526.64,434.75,485.0,229.9375,0.075
182,Africa,Books,2017-06,13,4555.18,363.5,363.5,119.955,0.065
183,Africa,Books,2017-07,9,3247.56,388.0,388.0,128.04000000000002,0.07
184,Africa,Books,2017-08,26,14259.84,591.6666666666666,767.0,307.6566666666667,0.04
185,Africa,Books,2017-09,33,22951.559999999998,651.8333333333334,748.0,367.715,0.08833333333333333
186,Africa,Books,2017-11,13,5029.32,493.6666666666667,371.0,171.35666666666665,0.05666666666666667
187,Africa,Books,2017-12,10,771.9,83.0,83.0,57.27,0.07
188,Africa,Books,2018-01,33,6185.58,217.5,150.0,75.4025,0.035
189,Africa,Books,2018-02,19,8812.529999999999,517.0,396.0,203.40333333333334,0.05000000000000001
190,Africa,Books,2018-03,31,16605.09,542.25,601.0,398.085,0.0575
191,Africa,Books,2018-04,10,6392.08,544.0,569.0,301.30333333333334,0.03
192,Africa,Books,2018-05,18,8383.199999999999,533.0,533.0,168.23,0.035
193,Africa,Books,2018-06,25,11770.8,442.0,510.0,240.38,0.04666666666666667
194,Africa,Books,2018-08,8,2368.34,319.0,319.0,234.74,0.030000000000000002
195,Africa,Books,2018-09,1,841.5,850.0,850.0,170.0,0.01
196,Africa,Books,2018-10,26,17055.04,662.75,696.5,262.3225,0.0625
197,Africa,Books,2018-11,14,9526.8,536.0,536.0,293.66999999999996,0.05500000000000001
198,Africa,Books,2018-12,9,1398.46,139.0,139.0,46.75,0.035
199,Africa,Books,2019-01,14,2376.72,196.5,196.5,107.96000000000001,0.065
200,Africa,Books,2019-02,35,11408.17,375.0,302.0,245.96599999999998,0.046
201,Africa,Books,2019-03,8,3840.0,500.0,500.0,195.0,0.04
202,Africa,Books,2019-04,19,3215.0,289.25,245.5,197.3125,0.0675
203,Africa,Books,2019-05,14,4104.68,318.6666666666667,190.0,191.33333333333334,0.043333333333333335
204,Africa,Books,2019-06,22,12954.32,584.75,669.5,179.4975,0.057499999999999996
205,Africa,Books,2019-07,12,6032.889999999999,550.3333333333334,763.0,387.5,0.043333333333333335
206,Africa,Books,2019-08,6,2655.9799999999996,393.5,393.5,122.35,0.06
207,Africa,Books,2019-09,20,2091.96,109.0,113.0,62.97666666666667,0.023333333333333334
208,Africa,Books,2019-10,13,4881.1900000000005,403.0,317.0,285.75666666666666,0.05666666666666667
209,Africa,Books,2019-11,41,26340.63,626.0,643.5,335.1066666666667,0.06
210,Africa,Books,2019-12,41,17548.01,425.5,480.5,143.18833333333333,0.06333333333333334
211,Africa,Books,2020-01,1,214.37,221.0,221.0,48.620000000000005,0.03
212,Africa,Books,2020-02,9,7231.7,825.6666666666666,774.0,451.0566666666666,0.06333333333333334
213,Africa,Books,2020-03,5,4071.0,885.0,885.0,327.45000000000005,0.08
214,Africa,Books,2020-04,6,781.1999999999999,140.0,140.0,105.0,0.07
215,Africa,Books,2020-05,12,10692.050000000001,891.6666666666666,957.0,403.32,0.043333333333333335
216,Africa,Books,2020-06,11,1103.88,105.0,105.0,65.43,0.035
217,Africa,Books,2020-07,18,5668.799999999999,345.0,345.0,128.85,0.07
218,Africa,Books,2020-08,10,5391.0,493.0,493.0,134.44,0.07
219,Africa,Books,2020-09,3,2046.33,689.0,689.0,564.98,0.01
220,Africa,Books,2020-10,21,15944.98,800.6666666666666,825.0,431.57,0.07
221,Africa,Books,2020-11,19,2615.04,145.5,145.5,73.42500000000001,0.07
222,Africa,Books,2020-12,24,15502.15,694.0,710.5,466.65250000000003,0.0475
223,Africa,Clothing,2016-01,9,4870.88,634.0,634.0,196.72,0.015
224,Africa,Clothing,2016-03,18,14876.599999999999,881.5,881.5,283.89500000000004,0.055
225,Africa,Clothing,2016-04,32,13201.42,396.2,331.0,229.198,0.06
226,Africa,Clothing,2016-05,23,6857.48,395.0,317.0,158.415,0.042499999999999996
227,Africa,Clothing,2016-06,17,9422.24,498.75,457.0,322.8025,0.060000000000000005
228,Africa,Clothing,2016-07,22,12030.119999999999,592.6666666666666,807.0,372.2266666666667,0.043333333333333335
229,Africa,Clothing,2016-08,1,374.21999999999997,378.0,378.0,90.72000000000004,0.01
230,Africa,Clothing,2016-09,11,8335.08,680.0,680.0,451.90999999999997,0.08499999999999999
231,Africa,Clothing,2016-10,17,8051.73,397.25,429.5,115.04750000000001,0.07
232,Africa,Clothing,2016-11,12,7002.32,460.5,460.5,297.27500000000003,0.015
233,Africa,Clothing,2016-12,6,2822.4,480.0,480.0,192.0,0.02
234,Africa,Clothing,2017-01,10,5207.2,566.0,566.0,215.08,0.08
235,Africa,Clothing,2017-02,17,7905.860000000001,527.5,527.5,323.78499999999997,0.03
236,Africa,Clothing,2017-03,9,4037.7000000000003,408.0,408.0,204.93,0.07500000000000001
237,Africa,Clothing,2017-04,4,426.8,110.0,110.0,80.3,0.03
238,Africa,Clothing,2017-05,11,6996.15,539.75,439.0,334.6375,0.07
239,Africa,Clothing,2017-06,4,1443.84,384.0,384.0,318.72,0.06
240,Africa,Clothing,2017-07,14,2059.52,164.0,55.0,111.39333333333333,0.03
241,Africa,Clothing,2017-08,5,1185.75,255.0,255.0,155.55,0.07
242,Africa,Clothing,2017-09,26,13786.52,559.5,705.5,253.54500000000002,0.0425
243,Africa,Clothing,2017-10,29,22345.989999999998,704.6,839.0,286.698,0.05600000000000001
244,Africa,Clothing,2017-11,38,15779.27,407.57142857142856,381.0,231.5557142857143,0.05285714285714286
245,Africa,Clothing,2017-12,5,2915.55,589.0,589.0,270.94,0.01
246,Africa,Clothing,2018-01,34,16388.58,520.7142857142857,633.0,262.17,0.054285714285714284
247,Africa,Clothing,2018-02,23,7696.179999999999,488.0,466.0,352.345,0.055
248,Africa,Clothing,2018-03,6,2348.4,620.0,620.0,244.21999999999997,0.07
249,Africa,Clothing,2018-04,10,4869.2,555.0,555.0,203.5,0.065
250,Africa,Clothing,2018-05,1,744.9599999999999,776.0,776.0,271.6,0.04
251,Africa,Clothing,2018-06,26,18932.31,747.75,828.5,355.725,0.04
252,Africa,Clothing,2018-07,9,6629.82,722.5,722.5,319.09000000000003,0.08
253,Africa,Clothing,2018-08,16,1045.6899999999998,67.33333333333333,79.0,25.516666666666666,0.04
254,Africa,Clothing,2018-09,10,7840.53,816.0,816.0,247.095,0.015
255,Africa,Clothing,2018-10,11,2146.31,312.5,215.0,220.425,0.045
256,Africa,Clothing,2018-11,16,8122.59,581.0,631.0,426.46333333333337,0.08333333333333333
257,Africa,Clothing,2018-12,12,4001.6,570.0,570.0,195.5,0.049999999999999996
258,Africa,Clothing,2019-01,6,773.72,153.0,153.0,63.10999999999999,0.035
259,Africa,Clothing,2019-02,17,4118.139999999999,417.25,365.5,286.4925,0.07
260,Africa,Clothing,2019-03,9,3287.1600000000003,397.0,397.0,230.26,0.08
261,Africa,Clothing,2019-04,53,16301.18,362.14285714285717,218.0,206.7057142857143,0.05714285714285715
262,Africa,Clothing,2019-05,1,766.3,790.0,790.0,244.9,0.03
263,Africa,Clothing,2019-06,29,11827.92,415.6,223.0,162.246,0.05
264,Africa,Clothing,2019-07,13,3322.1399999999994,241.0,241.0,150.38,0.04
265,Africa,Clothing,2019-08,17,3046.92,210.0,210.0,151.56,0.04
266,Africa,Clothing,2019-09,4,1153.18,233.0,233.0,155.43,0.055
267,Africa,Clothing,2019-10,43,24611.93,560.6666666666666,662.5,277.10499999999996,0.049999999999999996
268,Africa,Clothing,2019-11,29,22721.4,832.5,953.0,482.9475,0.0775
269,Africa,Clothing,2019-12,7,1702.3999999999999,256.0,256.0,199.68,0.05
270,Africa,Clothing,2020-01,2,855.6,465.0,465.0,395.25,0.08
271,Africa,Clothing,2020-02,33,13959.61,470.8,490.0,334.662,0.064
272,Africa,Clothing,2020-03,33,19745.58,629.5,590.5,362.99,0.055
273,Africa,Clothing,2020-04,12,7947.24,614.0,614.0,261.30500000000006,0.085
274,Africa,Clothing,2020-05,13,8720.5,769.0,769.0,217.21000000000004,0.075
275,Africa,Clothing,2020-06,12,6443.9400000000005,589.5,589.5,216.345,0.055
276,Africa,Clothing,2020-07,4,769.1700000000001,396.0,396.0,228.0,0.065
277,Africa,Clothing,2020-08,28,9765.900000000001,327.2,268.0,136.172,0.05600000000000001
278,Africa,Clothing,2020-09,30,18962.78,636.1666666666666,616.5,418.59666666666664,0.05333333333333334
279,Africa,Clothing,2020-10,31,23118.09,750.75,816.0,453.2525,0.0375
280,Africa,Clothing,2020-11,9,6729.48,804.0,804.0,546.72,0.07
281,Africa,Computers,2016-01,8,5817.6,808.0,808.0,185.84000000000003,0.1
282,Africa,Computers,2016-02,26,13428.88,540.0,549.0,261.242,0.08399999999999999
283,Africa,Computers,2016-03,6,2419.56,429.0,429.0,360.36,0.06
284,Africa,Computers,2016-04,51,15672.93,304.375,335.5,164.8025,0.0525
285,Africa,Computers,2016-05,26,12775.76,509.5,497.0,304.44,0.065
286,Africa,Computers,2016-06,18,1935.03,205.5,111.0,93.83749999999999,0.04
287,Africa,Computers,2016-07,45,24124.41,585.7142857142857,572.0,333.72999999999996,0.06142857142857144
288,Africa,Computers,2016-08,13,2821.6,223.0,223.0,135.29,0.06
289,Africa,Computers,2016-09,18,4939.2,295.5,295.5,204.7,0.07
290,Africa,Computers,2016-10,9,6870.58,806.0,806.0,425.16999999999996,0.049999999999999996
291,Africa,Computers,2016-11,33,18556.02,677.0,711.5,321.9916666666667,0.06833333333333334
292,Africa,Computers,2016-12,15,10566.699999999999,718.0,745.0,455.8966666666667,0.02
293,Africa,Computers,2017-01,31,20373.37,685.0,641.0,431.34499999999997,0.0425
294,Africa,Computers,2017-02,20,8679.029999999999,497.75,450.0,272.1225,0.0325
295,Africa,Computers,2017-03,16,9390.18,492.6666666666667,504.0,277.3333333333333,0.09333333333333334
296,Africa,Computers,2017-04,19,10361.400000000001,616.0,616.0,365.645,0.07500000000000001
297,Africa,Computers,2017-05,1,609.96,663.0,663.0,324.87,0.08
298,Africa,Computers,2017-06,5,3086.64,659.0,659.0,361.34000000000003,0.049999999999999996
299,Africa,Computers,2017-07,19,9041.76,529.0,529.0,294.71000000000004,0.055
300,Africa,Computers,2017-08,20,8857.2,470.5,399.5,170.62,0.0575
301,Africa,Computers,2017-10,22,8343.96,452.5,439.5,298.25,0.065
302,Africa,Computers,2017-11,11,7234.99,723.0,723.0,347.28999999999996,0.07
303,Africa,Computers,2017-12,18,1886.31,114.5,114.5,62.540000000000006,0.07
304,Africa,Computers,2018-01,19,3632.6300000000006,170.25,166.0,78.655,0.06
305,Africa,Computers,2018-02,14,8694.279999999999,701.6666666666666,630.0,517.61,0.04666666666666667
306,Africa,Computers,2018-03,18,5180.07,321.3333333333333,345.0,113.12666666666667,0.02666666666666667
307,Africa,Computers,2018-04,24,10887.95,505.4,447.0,381.842,0.04
308,Africa,Computers,2018-05,14,7355.33,577.6666666666666,762.0,229.48333333333335,0.06
309,Africa,Computers,2018-06,34,13521.69,489.1666666666667,350.0,242.1,0.06166666666666667
310,Africa,Computers,2018-07,7,859.3199999999999,124.0,124.0,34.72,0.01
311,Africa,Computers,2018-08,21,10670.97,536.0,629.0,185.08666666666667,0.04666666666666667
312,Africa,Computers,2018-09,21,15929.88,805.0,921.0,611.9699999999999,0.05000000000000001
313,Africa,Computers,2018-10,8,5438.639999999999,731.0,731.0,577.49,0.07
314,Africa,Computers,2018-11,14,2078.37,226.4,143.0,113.998,0.082
315,Africa,Computers,2018-12,23,14995.77,693.6666666666666,738.0,486.86999999999995,0.03666666666666667
316,Africa,Computers,2019-01,5,1970.9099999999999,398.5,398.5,292.45,0.04
317,Africa,Computers,2019-03,44,27039.16,678.1666666666666,741.0,271.7716666666667,0.04833333333333333
318,Africa,Computers,2019-04,21,15467.57,735.25,748.5,352.2125,0.0325
319,Africa,Computers,2019-05,21,11523.130000000001,562.25,635.5,359.25,0.057499999999999996
320,Africa,Computers,2019-06,32,14833.28,527.0,528.0,259.575,0.04
